title,content
과학도서관(과도) 지하 1층에 있는 편의 시설은 무엇인가요?,"과도 지하 1층에 라운지가 있으며, 소파와 콘센트가 많아 편하게 과제하기 좋은 공간입니다. 공강 시간에 쉬기도 좋은 곳입니다."
과학도서관(과도) 지하 1층에 있는 편의 시설은 무엇인가요?,"과도 지하 1층에는 스마트 대출반납기가 있습니다. 과학, 의학, 중앙도서관 책을 반납할 수 있어 편리합니다."
과학도서관(과도) 4층에 있는 편의 시설은 무엇인가요?,"과도 4층에는 노트북 열람실 앞에 예약 없이 사용할 수 있는 자리가 있습니다. 처음 왔을 때 헷갈릴 수 있지만, 예약 없이 이용할 수 있습니다. 인기가 많아 학기 중에는 늘 사람들로 붐비며, 대부분이 공부하는 분위기입니다."
과학도서관(과도) 1층에 있는 라운지의 이름은 무엇인가요?,"과도 1층에 인피니티 라운지와 알파 라운지가 양 끝에 있습니다. 지정 좌석이 아니라 빈 자리에 앉을 수 있으며, 한 좌석당 콘센트가 하나씩 있습니다. 정수기는 알파 라운지에만 있습니다."
과학도서관(과도) 3층에 있는 편의 시설은 무엇인가요?,과도 3층에는 레거시 라운지가 있습니다. KLIB2 앱을 통해 예약해야 이용할 수 있는 Carrel 1인석 자리와 예약 없이 이용할 수 있는 책상이 같이 있는 곳입니다.
과학도서관(과도) 5층 화장실 앞에 어떤 시설이 있나요?,과도 5층 화장실 바로 앞에 자판기가 있습니다.
과학도서관(과도) 3층 프로젝트 플레이는 누구만 사용할 수 있나요?,"과도 3층 프로젝트 플레이는 대학원생 전용이며, 학부생은 예약할 수 없습니다."
과학도서관(과도) 2층 B 라운지는 어떻게 이용하나요?,과도 2층 B 라운지(베타 라운지)는 예약을 통해서만 이용 가능한 학습 공간입니다. KLIB 2 앱으로 예약하면 됩니다.
과학도서관(과도) 4층 integral 라운지 옆에 어떤 시설이 있나요?,과도 4층 integral 라운지 옆에는 자판기와 프린터를 할 수 있는 공간이 있습니다.
과학도서관(과도) 1층 여자 화장실은 어디에 있나요?,과도 1층 여자 화장실은 인피니티 라운지 안쪽에 있습니다. 찾기 어려울 수 있으니 참고하세요.
과학도서관(과도) 중앙계단 층 사이사이에 어떤 공간이 있나요?,"과도 중앙계단 층 사이사이에는 앉아서 휴식을 취할 수 있는 공간이 있습니다. 여기서 대화나 통화를 할 수 있으며, 창밖의 풍경도 즐길 수 있습니다."
애기능에서 과도로 넘어갈 때 어떤 편의시설을 이용할 수 있나요?,애기능에서 과도로 넘어갈 때 1층 출입문 바로 앞에 자판기가 있습니다.
사범대학(본관) 1층에 있는 편의시설은 무엇인가요?,사범대학(본관) 1층에 정수기가 있습니다.
사범대학(본관) 1층에 있는 편의시설은 무엇인가요?,사범대학(본관) 1층에 프린터기가 있습니다.
중앙광장지하(중지)에서 이용할 수 있는 편의시설은 무엇인가요?,중지 왼쪽 입구로 들어가면 바로 앞에 버거킹이 있습니다.
중앙광장지하(중지)에서 이용할 수 있는 편의시설은 무엇인가요?,"중지에 행사장소와 스터디룸, 스튜디오를 대관할 수 있는 CCL(CJ Creator Library)가 있습니다. 예약 방법은 사진을 참고하세요."
중앙광장지하(중지)에서 이용할 수 있는 편의시설은 무엇인가요?,중지 출입구들 앞에 책상과 작은 소파들이 있습니다. 잠깐 공부하기에 적합한 공간입니다.
중앙광장지하(중지)와 백주년기념관(백기) 사이에 있는 연결통로는 어디인가요?,중지와 백기를 연결하는 통로는 중지 내부에 있습니다. 이곳은 은근히 조용해서 공부하기 좋은 공간입니다.
산학관에 어떤 편의시설이 있나요?,산학관에는 학생식당이 있습니다.
라이시움(평생교육원)은 어디에 있나요?,"라이시움은 고려대역에서 바로 나오면 보이는 큰 건물로, 셔틀버스가 여기 앞에서 하차합니다."
학생회관 2층에 있는 편의시설은 무엇인가요?,학생회관 2층에는 매점과 카페가 있습니다.
학생회관 1층에 있는 식당은 무엇인가요?,학생회관 1층에는 학식이 제공되는 학생식당이 있습니다.
생명과학관(서관)은 어느 단과대학 건물인가요?,생명과학관(서관)은 이공계 건물입니다. 문과대 서관과 헷갈리면 안 됩니다.
사범대학(본관) 1층에 있는 편의시설은 무엇인가요?,사범대학(본관) 1층에는 정수기가 있습니다.
사범대학(본관) 1층에 있는 편의시설은 무엇인가요?,사범대학(본관) 1층에는 프린터기가 있습니다.
중앙광장지하(중지)에서 이용할 수 있는 편의시설은 무엇인가요?,중지 왼쪽 입구로 들어가면 바로 앞에 버거킹이 있습니다.
중앙광장지하(중지)에서 이용할 수 있는 편의시설은 무엇인가요?,"중지에 행사장소와 스터디룸, 스튜디오를 대관할 수 있는 CCL(CJ Creator Library)가 있습니다. 예약 방법은 사진을 참고하세요."
중앙광장지하(중지)에서 이용할 수 있는 편의시설은 무엇인가요?,중지 출입구들 앞에 책상과 작은 소파들이 있습니다. 잠깐 공부하기에 적합한 공간입니다.
중앙광장지하(중지)와 백주년기념관(백기) 사이에 있는 연결통로는 어디인가요?,중지와 백기를 연결하는 통로는 중지 내부에 있습니다. 이곳은 은근히 조용해서 공부하기 좋은 공간입니다.
생명과학관(동관)에서 비대면 수업을 위한 공간은 언제 개방되나요?,생명과학관(동관)의 비대면 수업용 공간은 월요일부터 금요일까지 개방됩니다.
신공학관의 비대면 수업용 공간은 언제 개방되나요?,신공학관의 비대면 수업용 공간은 월요일부터 금요일까지 개방됩니다.
문과대학 서관의 비대면 수업용 공간은 언제 개방되나요?,문과대학 서관의 비대면 수업용 공간은 월요일부터 금요일까지 개방됩니다.
SK미래관의 비대면 수업용 공간은 언제 개방되나요?,SK미래관의 비대면 수업용 공간은 월요일부터 금요일까지 개방됩니다.
법학관 신관의 비대면 수업용 공간은 언제 개방되나요?,법학관 신관의 비대면 수업용 공간은 월요일부터 금요일까지 개방됩니다.
사범대학 본관의 비대면 수업용 공간은 언제 개방되나요?,사범대학 본관의 비대면 수업용 공간은 월요일부터 금요일까지 개방됩니다.
애기능생활관의 비대면 수업용 공간은 언제 개방되나요?,애기능생활관의 비대면 수업용 공간은 월요일부터 금요일까지 개방됩니다.
창의관의 비대면 수업용 공간은 언제 개방되나요?,창의관의 비대면 수업용 공간은 월요일부터 금요일까지 개방됩니다.
수당삼양패컬티하우스는 무엇인가요?,"수당삼양패컬티하우스는 테니스코트, 식당, 정원이 있는 공간으로 주로 교수님들의 휴게 공간입니다. 학생들이 들어갈 수 있는지는 불확실합니다."
아산이학관에 있는 그룹스터디룸은 어떻게 이용하나요?,"아산이학관 2층에는 6인용 오픈룸이 있으며, 선착순으로 이용할 수 있습니다. 시험 기간에 배달 음식을 먹거나 동기들과 함께 사용할 수 있는 공간입니다."
아이스링크장에서 어떤 수업이 진행되나요?,"아이스링크장에서 빙상 수업이 진행됩니다. 이 수업은 패논패로 제공되며, 수강신청이 어렵지만 고학년이 많이 수강하는 과목입니다."
경영본관의 5층에는 어떤 시설이 있나요?,경영본관 5층에는 피트니스 센터가 있습니다. 공강 시간이나 수업이 끝난 후 운동을 하기에 좋습니다.
경영본관에 헬스장이 있나요?,"네, 경영본관 5층에 헬스장이 있습니다. 학생들이 공강시간이나 수업 후에 운동할 수 있는 공간입니다."
경영대 행정실은 어디에 있나요?,경영대 행정실은 경영본관 1층에 위치해 있습니다.
탁마정이라는 공간은 무엇인가요?,"탁마정은 경영본관 3층에 위치한 행정고시 준비 공간입니다. 내부에는 스탠딩 책상, 정수기, 락커 등이 구비되어 있습니다."
경영본관과 중앙도서관은 어떻게 연결되어 있나요?,경영본관 내의 정진초와 지배구조연구소 쪽 복도를 통해 중앙도서관으로 연결됩니다.
경영본관과 연결된 다른 건물들은 어떤 건물들이 있나요?,"경영본관은 엘포관, 현차관과 모든 층마다 서로 연결되어 있어 건물 간 이동이 편리합니다."
경영본관 3층에 어떤 시설들이 있나요?,"경영본관 3층에는 공인회계사 준비반인 정진초가 있으며, 내부에는 스탠딩 책상, 정수기, 락커 등이 구비되어 있습니다."
경영본관 2층에 어떤 시설들이 있나요?,"경영본관 2층에는 창업과 관련된 다양한 공간이 있습니다. 스타트업 연구원, 창업지원센터, 앙트프러너십에듀케이션 센터 등이 있습니다."
안암글로벌하우스에는 어떤 시설이 있나요?,안암글로벌하우스는 기숙사와 정독실 등의 시설을 제공합니다.
안암인터내셔널하우스의 특징은 무엇인가요?,"안암인터내셔널하우스는 기숙사와 공용주방이 있으며, 외국인 학생들이 많이 거주합니다. 외국인 학생들이 다 차지 않으면 한국 학생들도 받을 때가 있습니다."
대면강의 출입신청 방법은 무엇인가요?,포탈에 들어가서 정보생활 - 공간 및 예약관리로 들어가 출입신청을 할 수 있습니다. 신청서 등록 후 승인까지 이메일로 공지가 전송됩니다.
"경영본관과 엘포관, 현차관 간 이동이 편리한 이유는 무엇인가요?",이 세 건물은 모든 층마다 서로 연결되어 있어 건물 간 이동이 매우 편리합니다.
탁마정과 정진초의 차이점은 무엇인가요?,"탁마정은 행정고시 준비 공간이고, 정진초는 공인회계사 준비반입니다. 둘 다 경영본관 3층에 위치해 있으며, 다양한 편의 시설이 구비되어 있습니다."
엘포관과 백주년기념관은 연결되어 있나요?,"네, 엘포관과 백주년기념관은 연결통로로 연결되어 있습니다. 하지만 현재 코로나로 인해 통로가 막혀 있습니다."
백주년기념관과 엘포관 연결통로는 어디에 있나요?,백주년기념관 지하를 쭉 걸어가다 보면 엘포관으로 연결되는 통로가 있습니다.
엘포관 1층 라운지는 어떤가요?,"엘포관 1층에 라운지가 있는데, 의자가 딱딱해서 오래 앉지는 못할 것 같지만, 잠깐 시간을 보내거나 친구들과 이야기 나누기에 좋은 장소입니다."
"엘포관, 경영본관, 현차관은 어떻게 연결되어 있나요?","엘포관, 경영본관, 현차관은 모든 층마다 서로 연결되어 있어, 밖으로 나가지 않고도 다른 건물로 쉽게 이동할 수 있습니다."
엘포관 5층에 있는 SUPEX HALL에 대해 알려주세요.,"엘포관 5층에 있는 SUPEX HALL은 약 250명을 수용할 수 있는 대강당으로, 큰 강의실로 사용됩니다."
엘포관 2층에 어떤 라운지가 있나요?,"엘포관 2층에 이명박 라운지가 있습니다. 공부하거나 과제하기 좋은 장소이지만, 현재는 코로나로 인해 출입금지 상태입니다."
엘포관 2층에서 프린트할 수 있나요?,"네, 엘포관 2층에 프린트기가 있습니다. 장당 200원으로 프린트할 수 있습니다."
엘포관 4층에 있는 라운지에 대해 알려주세요.,"엘포관 4층에는 박현주 라운지 등 여러 공간이 있으며, 잠깐 앉아서 쉬거나 과제하기 좋은 공간들이 많습니다. 현재는 코로나로 인해 폐쇄 중입니다."
애기능 생활관에는 어떤 산책로가 있나요?,"애기능 동산에는 산책로가 있으며, 나무들이 많아서 선선하고, 계단 꼭대기에서 내려다보는 풍경이 예쁩니다. 테이블이 있어서 커피를 마시거나 음식을 포장해와서 먹기도 좋습니다."
애기능 생활관 지하에는 어떤 시설이 있나요?,애기능 생활관 지하에는 고대빵집이 있습니다. 바쁠 때 잠깐 들러 빵을 사먹기 좋습니다.
애기능 생활관 2층에서는 어떤 음식을 먹을 수 있나요?,애기능 생활관 2층에서는 학식을 팔고 있습니다. 장터 국밥 등 정해진 메뉴를 골라서 먹을 수 있습니다.
애기능 생활관 3층에서는 어떤 수업이 진행되나요?,"애기능 생활관 3층에서는 정보대학의 일부 수업이 진행되며, 특히 컴퓨터프로그래밍, 전산수학 같은 대형 강의가 열리는 경우가 많습니다."
애기능 학생회관에 있는 과방은 어떻게 출입하나요?,과방 출입은 포탈에서 출입신청을 해야 합니다. 일부 과방은 별도의 과방 예약사이트에서 예약을 해야 들어갈 수 있습니다.
Science pi-Park는 어떤 건물인가요?,"Science pi-Park는 아직 건립 예정인 건물로, 이과 교양수업을 듣는 데 사용될 예정입니다."
우당교양관 6층에는 어떤 시설이 있나요?,우당교양관 6층에는 대강의실과 10명 정도 앉을 수 있는 커다란 책상이 있습니다. 공강시간에 잠깐 쉬거나 과제하기 좋습니다.
우당교양관 6층의 시설 사용 시 불편한 점은 무엇인가요?,"우당교양관 6층의 책상 주위에는 콘센트가 없고, 의자가 딱딱하여 오래 머무르기에는 불편할 수 있습니다."
우당교양관 507호에는 무엇이 있나요?,우당교양관 507호에는 다양한 편의시설과 학습 공간이 마련되어 있습니다.
우당교양관의 입구는 어떻게 되어 있나요?,"정경대 방면에 외부 출입구는 2층 복도로, 정문은 1층 홀로, 미디어관 연결통로는 1층과 2층 사이 계단참으로 연결됩니다."
우당교양관 1층 라운지에서 비대면 수업을 들을 수 있나요?,"네, 우당교양관 1층 라운지에서는 비대면 수업을 듣기 좋습니다. 일부 자리에서는 콘센트를 사용할 수 있습니다."
우당교양관 1층 라운지는 어떤 용도로 사용되나요?,"우당교양관 1층 라운지에는 1인용 책상과 4인용 책상이 있어, 팀플이나 말할 공간이 필요할 때 사용하기 좋습니다."
국제관에는 어떤 편의시설이 있나요?,국제관에는 우체국과 고대빵집이 있습니다.
국제관의 고대빵집은 여전히 운영 중인가요?,"아니요, 국제관의 고대빵집은 현재 폐점 상태입니다."
하나프라자란 무엇인가요?,하나프라자는 슼관과 대강당 사이에 있는 예쁜 플라자 공간입니다.
우정정보관 1층 로비에는 어떤 시설이 있나요?,"우정정보관 1층 로비에는 열린도서관이 있지만, 책 대여나 반출은 불가합니다."
프런티어관 근처에서 저녁 산책하기 좋은 곳이 있나요?,"네, 개운사로 저녁 산책을 가보세요. 연등이 예쁘게 켜져 있어서 안전하게 산책할 수 있습니다."
CJ식품안전관에 창업 관련 시설이 있나요?,"네, CJ식품안전관 1층에 크림슨창업지원단이 있습니다. 창업에 관심 있는 분들에게 유용한 장소입니다."
운초우선교육관 1층에는 어떤 라운지가 있나요?,운초우선교육관 1층에는 비대면 수업을 들을 수 있는 라운지가 있습니다.
긱사생이 배달음식을 먹을 만한 곳은 어디인가요?,"원래 호실 내에서 먹으면 안 되지만, 경비 아저씨 몰래 들고 와서 방 안에서 먹는 경우가 많습니다."
문과캠에서 핸드폰 충전을 할 수 있는 곳이 있나요?,"우당교육관 라운지에 코드 꽂는 곳이 있으며, 중광 지하 노트북 열람실에서도 충전할 수 있습니다."
주말에 학교 건물에 들어갈 수 있나요?,"도서관은 열지만, 다른 건물들은 출입 신청을 해야 들어갈 수 있습니다."
중앙도서관에서 9시 예약한 캐럴을 바로 사용할 수 있나요?,"네, 9시 맞춰서 문을 열어주기 때문에 1교시 수업에 맞춰 사용할 수 있습니다."
SK미래관(에미관) 입장 시간이 어떻게 되나요?,SK미래관(에미관)은 정해진 시간에 맞춰서 문을 열어줍니다. 미리 들어갈 수는 없습니다.
고대 화장실에 물비누 대신 바디워시가 있는 이유는 무엇인가요?,"정확한 이유는 알 수 없지만, 화장실에서 제공되는 세제 종류는 관리 측의 결정에 따라 달라질 수 있습니다."
문과대에서 밥 먹을 곳을 추천해 주세요.,중앙광장 지하 식당과 타이거플라자에 있는 맘스터치를 추천합니다.
교양관 들어가는 줄 대기 시간이 얼마나 걸리나요?,교양관에 들어가는 줄 대기 시간은 약 5분 정도 걸립니다.
경영대 건물 근처에서 인쇄할 수 있는 곳은 어디인가요?,경영대 건물 근처의 이명박 라운지 옆에 프린트기가 있습니다.
공학관 공사는 아직도 진행 중인가요?,공학관 공사는 현재 완료된 것으로 보입니다.
이공캠에서 학식 먹을 곳을 추천해 주세요.,애기능 생활관과 산학관의 학식을 추천합니다.
이공계와 인문계 캠퍼스 사이의 거리는 얼마나 되나요?,이학관(이공계)에서 교양관(인문계)까지는 약 15분 정도 걸립니다.
문과대학 서관 3층에 여자 화장실이 없나요?,"문과대학 서관 3층에는 여자 화장실이 없으며, 2층에 있습니다."
국제관에서 비대면 수업을 들을 만한 장소가 있나요?,SK미래관과 중앙광장 지하가 비대면 수업을 들을 만한 장소로 추천됩니다.
하나과학관에서 교양관까지 10분 컷이 가능한가요?,"앞만 보고 걸으면 10분 정도 걸리지만, 강의실까지 들어가는 시간을 고려하면 뛰는 것이 좋습니다."
SK미래관에 수면실이 있나요?,SK미래관 1층과 2층의 움푹 파인 공간은 수면실이 아닙니다.
긱사생이 배달 음식을 먹을 만한 곳은 어디인가요?,"원래 호실 내에서 먹으면 안 되지만, 경비 아저씨 몰래 들고 와서 방 안에서 먹는 경우가 많습니다."
문과캠에서 핸드폰 충전을 할 수 있는 곳이 있나요?,우당교육관 라운지와 중광 지하 노트북 열람실에서 핸드폰 충전을 할 수 있습니다.
주말에 학교 건물에 들어갈 수 있나요?,"도서관은 열지만, 다른 건물들은 출입 신청을 해야 들어갈 수 있습니다."
중앙도서관에서 9시 예약한 캐럴을 바로 사용할 수 있나요?,"네, 9시 맞춰서 문을 열어주기 때문에 1교시 수업에 맞춰 사용할 수 있습니다."
문캠에 밥 먹을 곳을 추천해 주세요.,"중앙광장 지하에 버거킹, 규동, 돈까스를 파는 식당이 있습니다."
오늘 중앙도서관(중도) 열람실은 열려 있나요?,열람실은 운영 중입니다.
문과캠에서 비대면 수업을 들을 만한 곳이 있나요?,우당교양관 라운지와 중앙광장 지하 노트북 열람실에서 비대면 수업을 들을 수 있습니다.
문과캠에서 핸드폰 충전할 수 있는 곳이 있나요?,우당교양관 라운지와 중앙광장 지하 노트북 열람실에서 핸드폰 충전을 할 수 있습니다.
문과캠의 식사 장소는 어디가 좋나요?,"중앙광장 지하의 식당들이 좋습니다. 버거킹, 규동, 돈까스 등을 판매합니다."
중앙도서관(신관)에서 공부하기 좋은 공간이 있나요?,중앙도서관(신관) 1층 라운지에 공부하기 좋은 공간이 있습니다. 별도의 예약은 필요하지 않습니다.
중앙도서관(신관)에서 음료를 마실 수 있나요?,중앙도서관(신관) 3층과 4층에 자판기가 있어서 음료를 마실 수 있습니다.
중앙도서관(신관)에서 물을 마실 수 있는 정수기가 있나요?,중앙도서관(신관) 모든 층마다 정수기가 있어서 물을 마시기 편합니다.
동원글로벌리더십홀(동글리)에 있는 시설은 무엇인가요?,"동원글로벌리더십홀(동글리)에는 국제처, 기금기획부, 여학생휴게공간 등이 있습니다."
4.18기념관의 학생지원부는 어디에 있나요?,4.18기념관 2층에 학생지원부가 있습니다. 장학금 신청 시 많이 찾게 되는 곳입니다.
이학관별관에 있는 시설은 무엇인가요?,이학관별관에는 실험실이 있습니다.
화정체육관에 있는 시설은 무엇인가요?,화정체육관에는 경기장과 체육 관련 시설이 있습니다.
인촌기념관의 시설은 무엇인가요?,"인촌기념관에는 강의실, 대강당, 회의실이 있습니다."
CJ 인터내셔널하우스 기숙사에 주방이 있나요?,"네, CJ 인터내셔널하우스 기숙사에는 주방이 있습니다. 외국인 학생들이 다 차지 않으면 한국 학생들도 받아줍니다."
정경관 2층 라운지는 어떤가요?,정경관 2층 라운지에는 사각 테이블이 여러 개 있어서 팀플하거나 공부하기 좋습니다. 자리에 따라 콘센트도 있습니다.
정경관 2층 라운지에는 자판기와 프린터도 있나요?,"네, 정경관 2층 라운지에는 자판기와 프린터도 있어서 과제나 팀플을 하다가 이용하기 좋습니다."
중앙광장(중광) 벤치에서 비대면 강의를 들을 수 있나요?,"중앙광장 벤치에서 비대면 강의를 들을 수 있습니다. 다만, 시선이 느껴질 수 있습니다."
중앙광장(중광)에서 중맥하기 좋은 시기는 언제인가요?,5월에 날씨가 선선해서 중맥하기 좋습니다. 겉옷과 돗자리나 신문지를 준비하면 더 좋습니다.
날씨가 좋을 때 캠퍼스에서 쉬기 좋은 곳은 어디인가요?,날씨가 선선할 때는 중앙광장에서 중맥하기 좋습니다. 돗자리나 신문지를 깔고 FM 구경도 할 수 있어 재미있습니다.
백기에서 볼 수 있는 특별한 공간이 있나요?,백기 2층에 가면 피아노 건반 또는 초침처럼 생긴 공간이 있습니다. 천장도 예뻐서 한번 올려다보시는 것을 추천합니다.
과도 1층 캐럴 사용 방법을 알려주세요.,"과도 1층 캐럴 자리는 KLIB2 도서관 앱을 통해 예약할 수 있습니다. 하루에 2번까지 예약 가능하며, 1회당 최대 3시간씩 사용할 수 있습니다."
신공 3층에 어떤 라운지가 있나요?,신공 3층에는 대화와 휴식이 모두 가능한 라운지가 있습니다.
이공계와 인문계 캠퍼스 간 거리는 얼마나 되나요?,이공계와 인문계 캠퍼스 간 거리는 걸어서 약 15분 정도 걸립니다.
대면 강의 출입 신청 방법이 궁금해요.,대면 강의 출입 신청은 고려대학교 포털 접속 후 '정보생활' > '공간예약(서울)' > '출입신청'을 통해 가능합니다.
공학관 2층에 어떤 도서관이 있나요?,"공학관 2층에는 해동도서관이 있습니다. 조용히 공부하기 좋고, 2인실 스터디룸도 있으며, 예약 없이 이용 가능합니다."
과방 출입 신청 방법을 알려주세요.,학생증 발급 후 고려대학교 포털에서 '정보생활' > '공간예약(서울)' > '출입신청'을 통해 과방 출입 신청이 가능합니다. 과별로 추가 예약이 필요한 경우도 있으니 확인하세요.
백기 2층에서 웨이브를 무료로 볼 수 있는 공간이 있나요?,백기 2층에는 웨이브를 무료로 볼 수 있는 공간이 있습니다. 심심할 때 이용해보세요.
공학관에서 팀플하기 좋은 장소가 있나요?,"공학관 2층에 스터디룸이 있으며, 사전 예약 후 이용 가능합니다. 노트북 사용도 가능하니 참고하세요."
중앙도서관에서 사용할 수 있는 주요 시설은 무엇인가요?,중앙도서관에서는 다양한 학술 자료와 열람실을 이용할 수 있습니다. 또한 대학원 학생들을 위한 별도의 공간도 마련되어 있습니다.
동원글로벌리더십홀에서는 어떤 활동을 할 수 있나요?,"동원글로벌리더십홀은 다양한 국제 세미나와 리더십 관련 강의가 열리는 장소로, 최신식 장비를 갖춘 회의실과 강의실을 이용할 수 있습니다."
한국어교육관은 어떤 용도로 사용되나요?,"한국어교육관은 한국어를 배우는 외국인 학생들을 위한 교육 시설로, 다양한 한국어 수업과 문화 체험 프로그램이 진행됩니다."
인촌기념관에서는 어떤 행사가 열리나요?,"인촌기념관에서는 주로 고려대학교의 중요한 행사나 기념식이 열리며, 역사적인 전시물도 감상할 수 있습니다."
학생회관에서 제공하는 주요 서비스는 무엇인가요?,"학생회관은 학생들의 편의를 위한 다양한 서비스를 제공합니다. 여기에는 학생 식당, 카페, 복사실, 학생 지원 센터 등이 포함됩니다."
중앙광장은 주로 어떤 용도로 사용되나요?,"중앙광장은 학생들의 휴식 공간이자 다양한 야외 행사가 열리는 장소로, 고려대학교의 주요 이벤트가 자주 열립니다."
경영대학의 LG-POSCO경영관은 어떤 시설을 갖추고 있나요?,"LG-POSCO경영관은 최신식 강의실, 세미나실, 그리고 학생들을 위한 스터디 공간과 라운지를 갖추고 있습니다."
사색의 동산은 어떤 특징이 있나요?,"사색의 동산은 학생들이 자연 속에서 산책하거나 조용히 사색할 수 있는 공간으로, 다양한 나무와 꽃이 가득한 정원이 있습니다."
